query,intent,reference_response,generated_response,Helpfulness,Fluency,Appropriateness,avg_score
help to see at what time i can call customer assistance,contact_customer_service,Thank you for contacting! I certainly recognize that you would like to know the hours during which you can reach our customer assistance. Our dedicated team is available to assist you during {{Customer Assistance Hours}}. I'm here to provide any additional information you may need. How can I make your experience even better?,"Thank you for reaching out! I understand that you need assistance in reaching us at the most convenient time. To assist you, could you please provide us with your specific information about the time you can call us? This will help us locate the specific time and address you more effectively. We appreciate your interest in our services and strive to provide you with the best possible assistance.",3,4,4,3.6666666666666665
I want to check how long the shipment takes,delivery_period,"We understand your desire to know the estimated duration of the shipment. To provide you with an accurate update, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With that information, we will be able to give you a precise estimate of when you can expect your shipment to arrive. Your patience is greatly appreciated as we work to assist you with the utmost care and efficiency.","I'm here to assist you with this matter. To get started, could you please provide me with the date and time of the shipment? I'm here to guide you through the process. To get started, could you please provide me with the full details of the shipment and the estimated delivery time? I'm here to assist you with that. I'm here to guide you through the process of tracking your shipment. To ensure a seamless and accurate delivery experience, could you please provide me with the specific date and time of the shipment? I'm here to assist you in finding the best possible solution.",2,4,3,3.0
could I see the shipment options?,delivery_options,"Absolutely! I'm delighted to assist you in exploring the shipment options available. Here are the diverse shipment options we offer:

1. Standard Shipping: This option generally takes around {{Standard Shipping Days}} business days for delivery. It's perfect for non-urgent purchases.
2. Express Shipping: If you're in a bit of a hurry, Express Shipping is the way to go. You can expect your package to arrive in approximately {{Express Shipping Days}} business days.
3. Overnight Shipping: Need your purchase ASAP? Choose Overnight Shipping, and your package will be delivered to your doorstep the next business day.
4. In-Store Pickup: If you prefer a more hands-on approach, we offer the convenience of In-Store Pickup at our designated pickup locations.

Each delivery option may have different associated costs and availability depending on your specific location and the items you wish to purchase. If you have any additional questions or need further assistance, feel free to let me know. Together, we'll ensure your shipping experience is smooth and tailored to your needs!","I'm sorry to hear that! I'm here to guide you through the delivery options. To see the delivery options, could you please provide me with more details about the shipment options?",2,4,3,3.0
add item to order {{Order Number}},change_order,"Thank you for your message to us with your request to add an item to order number {{Order Number}}. We appreciate your proactive approach in ensuring that your order meets your expectations. To assist you further, could you please provide us with the details of the item you would like to add? This will enable us to process your request accurately and efficiently.","I'm here to help you with adding item to your order. To add it, you can either add it to your order or add it to your account. To do so, please follow these steps: 1. Log in to your account using your username and password. 2. Navigate to your account's website or website. 3. Navigate to the ""Add Items"" or ""Add Items"" section. 4. Look for the ""Add Items"" section. 5. Look for the ""Add Items"" section. 6. Navigate to the ""Add Items"" section.",1,2,1,1.3333333333333333
I have got to check if there are any news on the restitution,track_refund,"I'm on it! I completely understand that you're eager to check for any updates on the restitution. Rest assured, I'm here to assist you with that. Let me quickly gather the most recent information regarding your refund. Please bear with me for a moment while I retrieve the latest updates.","I'm here to assist you in checking the progress of your restitution. I'm here to help you every step of the way, and I'm here to guide you through the process. To ensure that you receive the necessary assistance, please follow these steps: 1. Log in to your account: Log in to your Account Settings/Accounts/ Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts/Accounts",2,4,3,3.0
I try to leave some feedback about  a product,review,"Thank you for your interest in leaving feedback about our product! We greatly value your input as it helps us improve the quality and meet the expectations of our customers. To provide feedback, you can visit our website and navigate to the product page. There, you will find a ""Leave a Review"" section where you can share your experience and thoughts about the product. We appreciate the time you take to share your feedback with us!","I'm here to help you with your feedback about the product. I'm here to provide you with the best possible experience. To ensure that you receive the most out of your feedback, could you please provide me with some specific details about the product or the product you're interested in? I'm here to assist you in resolving this information. Please feel free to share your feedback with us.",4,5,5,4.666666666666667
"I have to see my compensation status, help me",track_refund,"I'm on the same page, your need to check the status of your compensation. It's essential for you to stay informed and updated on the progress. Allow me to assist you in finding out the current status of your reimbursement. While I gather the necessary information, could you please confirm the method or platform you used to submit your compensation request? Your insight will help us navigate the system more effectively. Rest assured, I'm committed to providing you with the most accurate and up-to-date information possible.","I'm here to assist you in resolving your compensation status. I'm here to guide you through the process and provide you with the necessary information. To view the status, please follow the steps labeled ""Redress"" and provide the necessary details.",4,4,4,4.0
i dont know what i need to do to write a review,review,"No worries! I'm here to guide you through the process of writing a review. To begin, you'll need to locate the platform or website where you would like to leave the review. It could be our company website, a third-party review site, or a social media platform. Once you've decided on the platform, navigate to the section or page where reviews are accepted. Look for a form or a button that says ""Write a Review"" or something similar. Click on it, and you will usually be prompted to provide a star rating, along with your comments and feedback. Fill in the necessary details and be sure to express your thoughts clearly and honestly. Once you're satisfied with your review, submit it by clicking on the appropriate button or following the instructions provided. If you need further assistance or have any more questions, feel free to let me know!","I'm here to help you navigate through the process of writing a review. I'm here to assist you with the process. To assist you in writing a review, please provide me with the specific information you're looking for. Once I have the information, I can begin to understand the specific requirements and requirements of your review.",3,4,4,3.6666666666666665
I don't know how to cancel purchase {{Order Number}},cancel_order,"I'm on the same page, your confusion about canceling purchase {{Order Number}}. Let me guide you through the process:

1. Sign In: Start by logging into your {{Online Company Portal Info}}. If you don't have an account, you may need to create one first.
2. Access Order History: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Locate Your Purchase: Look for the purchase with the order number {{Order Number}}. Click on it to view the details.
4. Cancel the Order: Within the order details, you should find an option labeled '{{Online Order Interaction}}' or a similar term. Click on it to initiate the cancellation process.
5. Follow the Steps: The system may require you to provide a reason for cancellation or confirm your decision. Please complete these steps as prompted.

If you encounter any difficulties or have additional questions along the way, our dedicated support team is available during {{Customer Support Hours}} at {{Customer Support Phone Number}}. You can also chat with us live on our website at {{Website URL}}. We appreciate your patience and are here to assist you throughout the process.","I'm here to assist you in resolving this matter. To cancel your purchase, you can log into your account and log in to your account. To proceed, you can navigate to the ""Order Number"" or ""Order Number"" section. Once you're logged in, you'll be able to log into our system and view the options available. Once you're logged into our system, you'll find a list of available products and services. Once you're logged in, you can begin to log in to our system and navigate to the """,1,2,1,1.3333333333333333
where could I receive the fucking company newsletter?,newsletter_subscription,"I can see that you're interested in receiving our company newsletter. Our newsletter is typically sent via email to subscribers like yourself. To ensure you don't miss out on any updates, promotions, or valuable content, please provide me with your email address, and I'll make sure you're added to our mailing list. Remember, we value your privacy, and your information will be treated with the utmost care and security.","I'm here to help you find the most accurate information about the company you are interested in receiving the newsletter. To provide you with the most accurate information, could you please provide me with your email address and email address? This will enable me to provide you with the most accurate information about the company's products and services. I'm here to guide you through the process and ensure that you receive the most accurate information.",1,2,1,1.3333333333333333
