query,intent,reference_response,generated_response,Helpfulness,Fluency,Appropriateness,avg_score
help to see at what time i can call customer assistance,contact_customer_service,Thank you for contacting! I certainly recognize that you would like to know the hours during which you can reach our customer assistance. Our dedicated team is available to assist you during {{Customer Assistance Hours}}. I'm here to provide any additional information you may need. How can I make your experience even better?,i can call customer assistance at i can call,1,1,1,1.0
I want to check how long the shipment takes,delivery_period,"We understand your desire to know the estimated duration of the shipment. To provide you with an accurate update, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With that information, we will be able to give you a precise estimate of when you can expect your shipment to arrive. Your patience is greatly appreciated as we work to assist you with the utmost care and efficiency.",The delivery period is a week.,4,5,5,4.666666666666667
could I see the shipment options?,delivery_options,"Absolutely! I'm delighted to assist you in exploring the shipment options available. Here are the diverse shipment options we offer:

1. Standard Shipping: This option generally takes around {{Standard Shipping Days}} business days for delivery. It's perfect for non-urgent purchases.
2. Express Shipping: If you're in a bit of a hurry, Express Shipping is the way to go. You can expect your package to arrive in approximately {{Express Shipping Days}} business days.
3. Overnight Shipping: Need your purchase ASAP? Choose Overnight Shipping, and your package will be delivered to your doorstep the next business day.
4. In-Store Pickup: If you prefer a more hands-on approach, we offer the convenience of In-Store Pickup at our designated pickup locations.

Each delivery option may have different associated costs and availability depending on your specific location and the items you wish to purchase. If you have any additional questions or need further assistance, feel free to let me know. Together, we'll ensure your shipping experience is smooth and tailored to your needs!",yes,1,5,1,2.3333333333333335
add item to order {{Order Number}},change_order,"Thank you for your message to us with your request to add an item to order number {{Order Number}}. We appreciate your proactive approach in ensuring that your order meets your expectations. To assist you further, could you please provide us with the details of the item you would like to add? This will enable us to process your request accurately and efficiently.",[Intent: change_order],1,1,1,1.0
I have got to check if there are any news on the restitution,track_refund,"I'm on it! I completely understand that you're eager to check for any updates on the restitution. Rest assured, I'm here to assist you with that. Let me quickly gather the most recent information regarding your refund. Please bear with me for a moment while I retrieve the latest updates.",I haven't seen any news on the restitution yet.,2,4,3,3.0
I try to leave some feedback about  a product,review,"Thank you for your interest in leaving feedback about our product! We greatly value your input as it helps us improve the quality and meet the expectations of our customers. To provide feedback, you can visit our website and navigate to the product page. There, you will find a ""Leave a Review"" section where you can share your experience and thoughts about the product. We appreciate the time you take to share your feedback with us!",I've been using this product for years and have never had any issues with it. I've been using this product for years and have never had any issues with it.,1,2,1,1.3333333333333333
"I have to see my compensation status, help me",track_refund,"I'm on the same page, your need to check the status of your compensation. It's essential for you to stay informed and updated on the progress. Allow me to assist you in finding out the current status of your reimbursement. While I gather the necessary information, could you please confirm the method or platform you used to submit your compensation request? Your insight will help us navigate the system more effectively. Rest assured, I'm committed to providing you with the most accurate and up-to-date information possible.",I have to see my compensation status,1,1,1,1.0
i dont know what i need to do to write a review,review,"No worries! I'm here to guide you through the process of writing a review. To begin, you'll need to locate the platform or website where you would like to leave the review. It could be our company website, a third-party review site, or a social media platform. Once you've decided on the platform, navigate to the section or page where reviews are accepted. Look for a form or a button that says ""Write a Review"" or something similar. Click on it, and you will usually be prompted to provide a star rating, along with your comments and feedback. Fill in the necessary details and be sure to express your thoughts clearly and honestly. Once you're satisfied with your review, submit it by clicking on the appropriate button or following the instructions provided. If you need further assistance or have any more questions, feel free to let me know!",I don't know what I need to do to write a review.,1,5,1,2.3333333333333335
I don't know how to cancel purchase {{Order Number}},cancel_order,"I'm on the same page, your confusion about canceling purchase {{Order Number}}. Let me guide you through the process:

1. Sign In: Start by logging into your {{Online Company Portal Info}}. If you don't have an account, you may need to create one first.
2. Access Order History: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Locate Your Purchase: Look for the purchase with the order number {{Order Number}}. Click on it to view the details.
4. Cancel the Order: Within the order details, you should find an option labeled '{{Online Order Interaction}}' or a similar term. Click on it to initiate the cancellation process.
5. Follow the Steps: The system may require you to provide a reason for cancellation or confirm your decision. Please complete these steps as prompted.

If you encounter any difficulties or have additional questions along the way, our dedicated support team is available during {{Customer Support Hours}} at {{Customer Support Phone Number}}. You can also chat with us live on our website at {{Website URL}}. We appreciate your patience and are here to assist you throughout the process.",I can't find the order number.,1,4,1,2.0
where could I receive the fucking company newsletter?,newsletter_subscription,"I can see that you're interested in receiving our company newsletter. Our newsletter is typically sent via email to subscribers like yourself. To ensure you don't miss out on any updates, promotions, or valuable content, please provide me with your email address, and I'll make sure you're added to our mailing list. Remember, we value your privacy, and your information will be treated with the utmost care and security.",the fucking company newsletter,1,1,1,1.0
i want assistance to cancel the newsletter subscription,newsletter_subscription,"I understood that you would like assistance with canceling your subscription to our newsletter. I apologize for any inconvenience this may cause. To proceed with the cancellation, could you please provide me with the email address associated with your newsletter subscription? This will help me locate your account and ensure a swift and accurate cancellation process. Rest assured, we value your privacy and will handle your request with the utmost care and confidentiality. Thank you for reaching out to us for assistance with this matter.",I want assistance to cancel the newsletter subscription,1,1,1,1.0
I do not know how  to send feedback about your products,review,"Thank you for reaching out. I'd be happy to assist you with sending feedback about our products. To provide feedback, you can visit our website and navigate to the ""Contact Us"" page or the ""Feedback"" section. Alternatively, you can also email our customer support team at support@company.com. We highly value your feedback as it helps us enhance our products and provide a better experience for our customers. Please let me know if there's anything else I can help you with.",I am not sure how to send feedback about your products.,1,4,1,2.0
i dont know how i can speak with customer service,contact_customer_service,"Your message means a lot! I'm aligned with the idea that you're unsure about how to speak with our customer service team. Don't worry, I'm here to help guide you through the process. To speak with our customer service, you can reach them during their operating hours at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. They will be more than happy to assist you with any questions or concerns you may have. Feel free to let me know if there's anything else I can do for you!",Customer service is a problem.,1,1,1,1.0
wanna check how soon can i epect my delivery help me,delivery_period,"We understand your eagerness to know when you can expect your delivery. To provide you with an estimate, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With that information, we can check the progress of your delivery and give you a more specific timeframe. Thank you for your cooperation!",Is there anything else I can help you with?,1,4,1,2.0
I want asistance downloading invoice #12588,get_invoice,"I'll get right on it! I understand that you need help downloading invoice {{Invoice Number}}. Let me guide you through the process. First, please log in to your account on our website. Once logged in, navigate to the ""Invoices"" or ""Billing"" section, where you should be able to find a list of your invoices. Look for the specific invoice {{Invoice Number}} and click on the download button or link next to it. If you encounter any difficulties or need further assistance, feel free to let me know. I'm here to help you every step of the way!",[Intent: get_invoice],2,4,3,3.0
edit data on {{Account Category}} account,edit_account,"How inspiring it is to witness your commitment to editing the data on your {{Account Category}} account!I'm thrilled to assist you in making these necessary updates and ensuring a seamless and efficient process. To get started, could you please provide me with the specific data that you would like to edit? Rest assured, I'm here to guide you every step of the way to ensure a smooth experience.",[Intent: edit_account],1,5,1,2.3333333333333335
I don't know how I can change to the {{Account Category}} account,switch_account,"I'm clearly cognizant your confusion about the process of switching to the {{Account Category}} account. It may seem daunting at first, but fear not! I'm here to guide you through each step:

1. Sign in: Start by logging into our platform using your credentials.
2. Account Settings: Once you're logged in, navigate to your account settings or profile section.
3. Upgrade Option: Look for an option labeled ""Upgrade"" or ""Switch Account Type"".
4. Choose {{Account Category}}: From the available options, select the ""{{Account Category}} Account"" to upgrade.
5. Confirmation and Final Steps: Follow the on-screen prompts to confirm your selection and complete the upgrade process.

If you encounter any difficulties or have any further questions, feel free to reach out to me. I'm here to provide any assistance you may need. Enjoy the incredible benefits that come with your upgraded {{Account Category}} account!",I can't change to the Account Category account.,1,4,1,2.0
